Date,Harga Asli,Harga Prediksi,Selisih (Rp),Error (%)
2024-06-20,9038.529296875,8840.660265898805,197.86903097619506,2.1891728673668926
2024-06-21,9206.353515625,8916.152441404945,290.2010742200546,3.1521826065827914
2024-06-24,9206.353515625,9002.126167017232,204.22734860776836,2.218330506873913
2024-06-25,9206.353515625,9088.531887399247,117.82162822575265,1.279786052379871
2024-06-26,9110.453125,9185.672591239178,-75.21946623917756,0.8256391335000427
2024-06-27,9350.2021484375,9254.248054885855,95.9540935516452,1.0262248027191578
2024-06-28,9518.0263671875,9320.027854553155,197.9985126343454,2.0802475744018385
2024-07-01,9470.0771484375,9374.035298306972,96.04185013052847,1.0141612219745724
2024-07-02,9494.0517578125,9434.869512350662,59.18224546183774,0.6233613105504469
2024-07-03,9589.951171875,9539.477994839435,50.47317703556473,0.526313180650912
2024-07-04,9422.126953125,9552.999184255474,-130.87223113047366,1.388988195357183
2024-07-05,9542.0009765625,9555.099204100385,-13.098227537884668,0.13726919091768208
2024-07-08,9637.9013671875,9589.553420762335,48.34794642516499,0.5016439220862635
2024-07-09,9661.8759765625,9622.477014720826,39.39896184167446,0.4077775572492064
2024-07-10,9685.8505859375,9640.199255164935,45.651330772565416,0.471319791354667
2024-07-11,9661.8759765625,9689.061936973896,-27.18596041139608,0.281373518738421
2024-07-12,9661.8759765625,9710.754187378789,-48.87821081628863,0.5058873756489525
2024-07-15,9637.9013671875,9704.921089776773,-67.01972258927344,0.6953767219225124
2024-07-16,9542.0009765625,9672.60523612093,-130.60425955842948,1.368730310122852
2024-07-17,9398.1513671875,9601.747033723517,-203.59566653601723,2.1663373846780836
2024-07-18,9685.8505859375,9601.958551409316,83.89203452818401,0.8661297609730167
2024-07-19,9709.82421875,9609.090813383897,100.7334053661034,1.0374379916330903
2024-07-22,9685.8505859375,9616.657589578426,69.19299635907373,0.7143719154570924
2024-07-23,9757.775390625,9662.037014694095,95.73837593090502,0.9811496175950905
2024-07-24,9661.8759765625,9718.337506463555,-56.461529901054746,0.584374401389725
2024-07-25,9877.6494140625,9758.216644285101,119.43276977739879,1.2091213685653401
2024-07-26,9901.625,9799.033515958337,102.59148404166262,1.0361075484242497
2024-07-29,9829.69921875,9829.37417257778,0.3250461722200271,0.003306776382333312
2024-07-30,9757.775390625,9827.590666392913,-69.81527576791268,0.7154835295244576
2024-07-31,9853.6748046875,9869.517793637617,-15.842988950116705,0.16078254320489677
2024-08-01,9949.57421875,9881.829113348002,67.74510540199844,0.680884467139635
2024-08-02,9781.75,9853.027875961838,-71.27787596183771,0.7286822497184829
2024-08-05,9470.0771484375,9773.051788032339,-302.97463959483866,3.1992837528765796
